Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Score
ICPUSDT,HullMA-Cross,W11,"Hull(21/55) ATR×2.5",52,21.15,-18.98,0.40,-2.72,20.43,7.07
ICPUSDT,HullMA-Cross,W12,"Hull(21/34) ATR×2.5",50,36.00,4.50,1.14,0.23,16.48,25.37
ICPUSDT,HullMA-Cross,W13,"Hull(21/55) ATR×1.5",52,30.77,7.03,1.11,0.23,22.71,24.60
ICPUSDT,Vortex-Cross,W01,"Vortex(14) ATR×2.5",75,25.33,-11.10,0.76,-0.70,26.23,15.79
ICPUSDT,Vortex-Cross,W02,"Vortex(14) ATR×2.5",67,26.87,-11.36,0.70,-1.03,20.42,14.30
ICPUSDT,Vortex-Cross,W03,"Vortex(14) ATR×2.5",100,18.00,-43.80,0.22,-6.15,43.80,5.11
ICPUSDT,Vortex-Cross,W04,"Vortex(14) ATR×2.5",87,26.44,-34.63,0.39,-3.16,34.63,8.05
ICPUSDT,Vortex-Cross,W05,"Vortex(28) ATR×1.5",51,25.49,-17.94,0.35,-3.25,20.46,7.54
ICPUSDT,Vortex-Cross,W06,"Vortex(14) ATR×2.5",69,17.39,-30.03,0.37,-3.14,30.03,6.05
ICPUSDT,Vortex-Cross,W07,"Vortex(21) ATR×2.5",71,25.35,-23.43,0.42,-2.83,24.90,8.02
ICPUSDT,Vortex-Cross,W08,"Vortex(21) ATR×2.5",78,23.08,-28.77,0.39,-3.29,32.99,7.32
ICPUSDT,Vortex-Cross,W09,"Vortex(14) ATR×2.5",91,16.48,-34.09,0.38,-3.65,37.79,5.93
ICPUSDT,Vortex-Cross,W10,"Vortex(14) ATR×2.5",91,20.88,-29.75,0.29,-4.83,32.03,6.23
ICPUSDT,Vortex-Cross,W11,"Vortex(28) ATR×2.0",58,13.79,-20.06,0.39,-2.23,22.65,5.48
ICPUSDT,Vortex-Cross,W12,"Vortex(28) ATR×2.0",54,27.78,-6.07,0.76,-0.68,14.00,16.39
ICPUSDT,Vortex-Cross,W13,"Vortex(14) ATR×2.0",89,32.58,8.90,1.09,0.23,27.74,24.42
ICPUSDT,PSAR-Trail,W01,"PSAR(0.02/0.02/0.2) ATR×2.5",72,31.94,-6.56,0.87,-0.36,25.08,19.34
ICPUSDT,PSAR-Trail,W02,"PSAR(0.02/0.02/0.2) ATR×2.0",68,32.35,-23.35,0.56,-1.93,23.35,10.69
ICPUSDT,PSAR-Trail,W03,"PSAR(0.02/0.02/0.3) ATR×1.5",73,27.40,-24.65,0.46,-2.70,27.58,8.70
ICPUSDT,PSAR-Trail,W04,"PSAR(0.02/0.02/0.3) ATR×2.5",75,26.67,-36.71,0.41,-3.07,36.71,8.23
ICPUSDT,PSAR-Trail,W05,"PSAR(0.02/0.02/0.3) ATR×2.5",68,39.71,6.91,1.17,0.48,10.85,27.45
ICPUSDT,PSAR-Trail,W06,"PSAR(0.02/0.02/0.2) ATR×2.0",85,23.53,-43.33,0.33,-4.38,43.48,7.04
ICPUSDT,PSAR-Trail,W07,"PSAR(0.01/0.015/0.2) ATR×2.5",58,29.31,-18.34,0.59,-1.73,20.58,11.09
ICPUSDT,PSAR-Trail,W08,"PSAR(0.01/0.015/0.2) ATR×2.5",65,33.85,-32.37,0.41,-3.00,34.21,9.63
ICPUSDT,PSAR-Trail,W09,"PSAR(0.01/0.015/0.3) ATR×2.5",59,22.03,-29.19,0.41,-2.93,32.23,7.28
ICPUSDT,PSAR-Trail,W10,"PSAR(0.01/0.015/0.3) ATR×2.5",55,18.18,-27.01,0.20,-5.42,27.66,5.02
ICPUSDT,PSAR-Trail,W11,"PSAR(0.01/0.02/0.3) ATR×2.5",65,27.69,-18.27,0.48,-2.29,19.94,8.87
ICPUSDT,PSAR-Trail,W12,"PSAR(0.01/0.02/0.2) ATR×2.5",59,33.90,4.91,1.12,0.20,21.03,24.63
ICPUSDT,PSAR-Trail,W13,"PSAR(0.02/0.015/0.3) ATR×2.5",68,33.82,40.43,1.40,0.84,18.90,34.37
LTCUSDT,TripleEMA-MTF,W01,"EMA(13/34/89) ATR×1.5",13,15.38,-11.43,0.08,-4.63,11.43,3.65
LTCUSDT,TripleEMA-MTF,W02,"EMA(5/21/89) ATR×2.5",18,22.22,7.78,1.69,0.55,6.19,31.24
LTCUSDT,TripleEMA-MTF,W03,"EMA(9/21/89) ATR×3.0",24,8.33,-20.64,0.05,-5.83,20.64,2.04
LTCUSDT,TripleEMA-MTF,W04,"EMA(13/34/89) ATR×3.0",7,14.29,-4.63,0.18,-1.94,5.62,4.34
LTCUSDT,TripleEMA-MTF,W05,"EMA(9/34/55) ATR×3.0",9,22.22,-1.41,0.73,-0.34,4.36,16.43
LTCUSDT,TripleEMA-MTF,W06,"EMA(9/34/55) ATR×2.5",17,17.65,-8.80,0.25,-2.28,8.97,5.28
